,t_start,t_end,energy_wh
47,2024-01-04 09:03:44.791942656+01:00,2024-01-04 16:59:41.917595904+01:00,15100.0
48,2024-01-04 09:57:38.998847744+01:00,2024-01-04 16:25:07.825052160+01:00,15003.0
49,2024-01-04 10:23:59.183859968+01:00,2024-01-04 15:45:35.759742976+01:00,16779.0
50,2024-01-04 10:26:29.739246848+01:00,2024-01-04 15:46:30.008051456+01:00,39182.0
51,2024-01-04 12:35:02.510848256+01:00,2024-01-04 18:52:41.802041856+01:00,4219.0
52,2024-01-04 13:53:27.776385536+01:00,2024-01-05 15:52:44.747921920+01:00,7637.0
53,2024-01-04 15:45:59.576207360+01:00,2024-01-11 13:40:36.788116480+01:00,30189.0
54,2024-01-04 16:34:24.252024832+01:00,2024-01-05 09:04:02.836014592+01:00,44854.0
55,2024-01-04 18:02:51.409208576+01:00,2024-01-05 11:08:16.919229952+01:00,18388.0
56,2024-01-05 05:25:10.931461888+01:00,2024-01-05 15:25:24.805125376+01:00,11095.0
57,2024-01-05 05:34:15.543617792+01:00,2024-01-05 08:14:16.581923584+01:00,11833.0
58,2024-01-05 05:40:23.182525952+01:00,2024-01-05 12:54:54.648262912+01:00,33598.0
59,2024-01-05 07:13:47.632912640+01:00,2024-01-05 14:41:39.051462144+01:00,12224.0
60,2024-01-05 08:20:56.112988672+01:00,2024-01-05 15:09:26.110141952+01:00,3843.0
61,2024-01-05 08:34:39.950525952+01:00,2024-01-05 10:42:56.809136896+01:00,15348.0
62,2024-01-05 08:59:43.241014016+01:00,2024-01-05 12:41:35.165792512+01:00,27503.0
63,2024-01-05 09:00:24.216435200+01:00,2024-01-05 18:41:16.604035584+01:00,9395.0
64,2024-01-05 09:00:45.337489152+01:00,2024-01-05 14:28:18.821033216+01:00,6496.0
65,2024-01-05 09:07:56.930448128+01:00,2024-01-05 16:21:47.727823872+01:00,39288.0
66,2024-01-05 09:11:42.935353856+01:00,2024-01-05 16:51:01.202136576+01:00,43914.0
67,2024-01-05 10:40:38.272291072+01:00,2024-01-05 12:45:37.080226816+01:00,7919.0
68,2024-01-08 05:10:33.825305600+01:00,2024-01-08 17:09:48.729598720+01:00,11669.0
69,2024-01-08 05:35:57.413333504+01:00,2024-01-08 13:54:43.979371008+01:00,19985.0
70,2024-01-08 05:37:03.512936960+01:00,2024-01-08 15:52:40.040344320+01:00,12626.0
71,2024-01-08 05:39:12.332558080+01:00,2024-01-08 13:54:18.993448960+01:00,12797.0
72,2024-01-08 05:41:41.090744832+01:00,2024-01-08 13:59:01.077707264+01:00,23615.0
73,2024-01-08 06:08:19.433434368+01:00,2024-01-08 11:53:25.562330880+01:00,39700.0
74,2024-01-08 06:08:28.820570368+01:00,2024-01-08 16:41:16.044490496+01:00,8676.0
75,2024-01-08 06:11:53.334886912+01:00,2024-01-08 14:34:49.283524096+01:00,9142.0
76,2024-01-08 06:31:19.770853376+01:00,2024-01-08 16:20:51.063620352+01:00,8865.0
77,2024-01-08 06:52:32.099356416+01:00,2024-01-08 16:43:26.791994624+01:00,62835.0
78,2024-01-08 06:53:48.027234048+01:00,2024-01-08 16:24:57.726321920+01:00,18867.0
79,2024-01-08 06:55:54.801210880+01:00,2024-01-08 12:52:17.638550784+01:00,9114.0
80,2024-01-08 07:11:59.794107136+01:00,2024-01-08 17:52:30.189178624+01:00,9444.0
81,2024-01-08 07:20:20.527783168+01:00,2024-01-08 16:38:17.450747392+01:00,16435.0
82,2024-01-08 07:39:19.603292672+01:00,2024-01-08 13:55:00.796667648+01:00,64261.0
83,2024-01-08 07:41:10.039472384+01:00,2024-01-08 16:38:15.942568448+01:00,66332.0
84,2024-01-08 07:44:08.386627072+01:00,2024-01-08 16:24:32.666766592+01:00,9138.0
85,2024-01-08 07:47:04.461354496+01:00,2024-01-08 18:18:17.888412160+01:00,29371.0
86,2024-01-08 07:48:49.637655552+01:00,2024-01-08 14:07:32.801229056+01:00,32549.0
87,2024-01-08 07:52:25.887131904+01:00,2024-01-08 16:09:01.283935744+01:00,42584.0
88,2024-01-08 07:52:36.498784768+01:00,2024-01-08 17:24:08.105468160+01:00,24880.0
89,2024-01-08 07:53:57.463680256+01:00,2024-01-08 12:01:18.978056704+01:00,26938.0
90,2024-01-08 07:54:21.010466816+01:00,2024-01-08 15:18:08.665639936+01:00,50934.0
91,2024-01-08 07:55:51.156531968+01:00,2024-01-08 09:03:07.465462528+01:00,12311.0
92,2024-01-08 07:56:18.107562240+01:00,2024-01-08 16:47:15.456258048+01:00,30302.0
93,2024-01-08 07:59:54.954470144+01:00,2024-01-08 16:47:21.883047168+01:00,48450.0
94,2024-01-08 08:01:03.487009280+01:00,2024-01-08 17:07:02.868997632+01:00,18017.0
95,2024-01-08 08:02:30.600240384+01:00,2024-01-08 17:10:12.048899840+01:00,12251.0
96,2024-01-08 08:07:24.554021888+01:00,2024-01-08 17:31:47.725622528+01:00,27630.0
97,2024-01-08 08:09:38.034725120+01:00,2024-01-08 17:34:26.676425728+01:00,64347.0
98,2024-01-08 08:15:52.211740928+01:00,2024-01-08 15:44:43.064604672+01:00,22488.0
99,2024-01-08 08:17:22.260374272+01:00,2024-01-08 17:10:25.188994816+01:00,13596.0
100,2024-01-08 08:17:54.274840576+01:00,2024-01-08 15:41:26.417918464+01:00,12836.0
101,2024-01-08 08:22:38.296430592+01:00,2024-01-08 15:57:36.480691200+01:00,21046.0
102,2024-01-08 08:25:33.171292416+01:00,2024-01-08 16:32:45.512580096+01:00,12899.0
103,2024-01-08 08:27:24.063335936+01:00,2024-01-08 17:52:47.678119168+01:00,44044.0
104,2024-01-08 08:28:24.006176512+01:00,2024-01-08 18:37:03.150543872+01:00,14222.0
105,2024-01-08 08:34:43.906127872+01:00,2024-01-08 13:21:57.084885760+01:00,13804.0
106,2024-01-08 08:41:56.142654976+01:00,2024-01-08 16:54:03.604930304+01:00,56823.0
107,2024-01-08 08:43:19.867914496+01:00,2024-01-08 12:48:53.542565888+01:00,38824.0
108,2024-01-08 08:58:47.824615680+01:00,2024-01-08 17:39:15.503385344+01:00,55022.0
109,2024-01-08 09:11:04.038663680+01:00,2024-01-08 16:52:58.694932224+01:00,10075.0
110,2024-01-08 11:45:09.719338496+01:00,2024-01-08 17:09:06.092637184+01:00,9258.0
111,2024-01-08 12:19:21.866598656+01:00,2024-01-08 17:01:35.933374720+01:00,25648.0
112,2024-01-08 12:54:34.083983616+01:00,2024-01-08 16:19:43.173347840+01:00,28020.0
113,2024-01-08 12:59:05.043351040+01:00,2024-01-08 17:51:50.327304704+01:00,49915.0
114,2024-01-08 13:41:10.601555200+01:00,2024-01-08 17:16:34.441600768+01:00,35046.0
115,2024-01-08 13:50:27.711109376+01:00,2024-01-08 16:00:12.326413568+01:00,23294.0
116,2024-01-08 14:01:04.596407040+01:00,2024-01-08 16:32:25.445017088+01:00,11767.0
117,2024-01-08 14:14:43.562392576+01:00,2024-01-11 13:59:53.568899072+01:00,54823.0
118,2024-01-08 14:34:34.731818240+01:00,2024-01-08 15:04:47.334519296+01:00,3692.0
119,2024-01-08 14:42:42.919126784+01:00,2024-01-08 16:33:52.642905088+01:00,12707.0
120,2024-01-08 14:49:03.039676160+01:00,2024-01-13 19:59:21.602622208+01:00,56011.0
121,2024-01-08 17:27:10.890609920+01:00,2024-01-09 07:22:05.721591552+01:00,27547.0
122,2024-01-08 17:46:58.643482112+01:00,2024-01-11 17:02:56.811516416+01:00,42133.0
123,2024-01-08 17:59:13.069364224+01:00,2024-01-10 08:03:06.974742784+01:00,46140.0
124,2024-01-08 18:38:01.605847808+01:00,2024-01-09 16:22:09.609006080+01:00,22915.0
125,2024-01-08 20:35:03.020452864+01:00,2024-01-09 10:52:11.438616064+01:00,36837.0
126,2024-01-09 05:21:42.826575616+01:00,2024-01-09 13:57:18.167709184+01:00,6164.0
127,2024-01-09 05:38:28.086350592+01:00,2024-01-09 14:43:15.318994176+01:00,7952.0
128,2024-01-09 06:22:36.182153216+01:00,2024-01-10 16:59:22.412445952+01:00,47932.0
129,2024-01-09 06:27:30.212080384+01:00,2024-01-09 16:15:49.637188608+01:00,52473.0
130,2024-01-09 06:30:36.214271488+01:00,2024-01-09 08:22:23.006653952+01:00,11067.0
131,2024-01-09 06:34:28.833215488+01:00,2024-01-09 18:01:11.535645440+01:00,9941.0
132,2024-01-09 07:05:26.327763712+01:00,2024-01-09 17:59:49.770448640+01:00,23299.0
133,2024-01-09 07:11:23.889888256+01:00,2024-01-09 17:13:12.595865088+01:00,45093.0
134,2024-01-09 07:14:05.895157248+01:00,2024-01-09 16:08:15.282505728+01:00,18575.0
135,2024-01-09 07:22:57.324228608+01:00,2024-01-09 15:26:42.653960960+01:00,9972.0
136,2024-01-09 07:27:37.344313600+01:00,2024-01-09 17:47:33.275997184+01:00,46227.0
137,2024-01-09 07:27:57.576400640+01:00,2024-01-09 17:47:19.220071936+01:00,20468.0
138,2024-01-09 07:32:39.095488768+01:00,2024-01-09 18:01:16.664561664+01:00,10407.0
139,2024-01-09 07:38:48.493208576+01:00,2024-01-09 15:31:43.646615552+01:00,39246.0
140,2024-01-09 07:39:04.097381120+01:00,2024-01-09 17:30:47.442869504+01:00,46926.0
141,2024-01-09 07:42:42.550220800+01:00,2024-01-09 16:59:50.963165952+01:00,36607.0
142,2024-01-09 07:45:39.835928064+01:00,2024-01-09 17:59:58.525107200+01:00,39243.0
143,2024-01-09 07:55:29.059979264+01:00,2024-01-09 14:36:11.246402304+01:00,30682.0
144,2024-01-09 07:55:40.404142848+01:00,2024-01-09 17:52:24.880776192+01:00,6464.0
145,2024-01-09 07:57:33.940434432+01:00,2024-01-09 13:49:20.522344192+01:00,56638.0
146,2024-01-09 07:58:14.810184192+01:00,2024-01-09 18:47:26.847823360+01:00,9839.0
147,2024-01-09 08:02:10.376269824+01:00,2024-01-09 17:33:02.898391296+01:00,78965.0
148,2024-01-09 08:02:37.482473216+01:00,2024-01-09 18:45:15.950861312+01:00,48387.0
149,2024-01-09 08:02:47.677390336+01:00,2024-01-09 14:01:45.273701888+01:00,28491.0
150,2024-01-09 08:02:47.827495424+01:00,2024-01-09 16:46:51.504456192+01:00,25538.0
151,2024-01-09 08:03:19.570927872+01:00,2024-01-09 16:53:50.627787264+01:00,43824.0
152,2024-01-09 08:07:44.341293312+01:00,2024-01-09 13:08:41.587614208+01:00,11054.0
153,2024-01-09 08:08:51.340639744+01:00,2024-01-09 17:48:11.653044224+01:00,24913.0
154,2024-01-09 08:13:13.001058560+01:00,2024-01-09 15:42:47.858515968+01:00,46017.0
155,2024-01-09 08:13:18.065418752+01:00,2024-01-09 18:10:07.236307712+01:00,49521.0
156,2024-01-09 08:13:48.081061376+01:00,2024-01-09 16:50:59.113712640+01:00,36478.0
157,2024-01-09 08:16:09.885558528+01:00,2024-01-09 17:20:15.484920320+01:00,21395.0
158,2024-01-09 08:19:33.760066048+01:00,2024-01-09 14:18:02.735201024+01:00,41991.0
159,2024-01-09 08:20:46.015623424+01:00,2024-01-09 18:31:34.173978880+01:00,15179.0
160,2024-01-09 08:21:12.046038528+01:00,2024-01-09 18:31:36.463240704+01:00,25086.0
161,2024-01-09 08:24:42.342615552+01:00,2024-01-09 08:30:01.000133632+01:00,670.0
162,2024-01-09 08:26:10.492216320+01:00,2024-01-09 17:36:13.875666176+01:00,66192.0
163,2024-01-09 08:26:25.654103296+01:00,2024-01-09 16:54:53.531035648+01:00,46271.0
164,2024-01-09 08:30:03.441221376+01:00,2024-01-09 18:39:52.781106944+01:00,35126.0
165,2024-01-09 08:32:13.862478336+01:00,2024-01-09 18:01:31.327374080+01:00,7110.0
166,2024-01-09 08:32:25.505190144+01:00,2024-01-09 15:56:36.365317120+01:00,24813.0
167,2024-01-09 08:32:48.066973952+01:00,2024-01-09 18:06:24.150395904+01:00,68748.0
168,2024-01-09 08:38:01.582088960+01:00,2024-01-11 18:16:28.502868992+01:00,7864.0
169,2024-01-09 08:38:02.704710912+01:00,2024-01-09 18:24:27.714714624+01:00,20976.0
170,2024-01-09 08:50:43.461785344+01:00,2024-01-09 15:23:42.479670016+01:00,31780.0
171,2024-01-09 08:52:18.762099200+01:00,2024-01-09 16:53:34.607533312+01:00,68599.0
172,2024-01-09 09:17:31.269076480+01:00,2024-01-09 16:11:39.838501888+01:00,21209.0
173,2024-01-09 10:34:49.492272640+01:00,2024-01-09 16:57:48.389669888+01:00,8604.0
174,2024-01-09 11:11:22.831159552+01:00,2024-01-09 14:41:25.607461376+01:00,26482.0
175,2024-01-09 11:15:45.126747136+01:00,2024-01-10 08:49:07.439231744+01:00,11649.0
176,2024-01-09 13:59:35.124228096+01:00,2024-01-09 16:16:44.319489024+01:00,24718.0
177,2024-01-09 14:19:48.060795904+01:00,2024-01-09 17:16:25.735979264+01:00,32676.0
178,2024-01-09 14:43:09.050498048+01:00,2024-01-09 17:51:38.940938752+01:00,34561.0
179,2024-01-09 15:15:34.244641024+01:00,2024-01-10 15:43:29.442306560+01:00,34133.0
180,2024-01-09 15:21:48.033633536+01:00,2024-01-09 18:01:34.912986368+01:00,10035.0
181,2024-01-09 16:10:31.689702400+01:00,2024-01-09 17:53:15.586096896+01:00,18439.0
182,2024-01-09 16:33:38.164889600+01:00,2024-01-10 06:50:06.095107840+01:00,17058.0
183,2024-01-09 17:01:53.714845184+01:00,2024-01-11 21:24:38.007822592+01:00,33512.0
184,2024-01-09 17:32:34.623295488+01:00,2024-01-10 09:28:15.175350528+01:00,21219.0
185,2024-01-09 17:36:18.727114752+01:00,2024-01-10 15:00:39.282792704+01:00,29784.0
186,2024-01-10 05:19:09.846699776+01:00,2024-01-10 14:02:48.671168+01:00,6213.0
187,2024-01-10 05:39:00.869517824+01:00,2024-01-10 14:03:25.996340736+01:00,26734.0
188,2024-01-10 05:42:16.618458624+01:00,2024-01-10 14:42:42.368620800+01:00,8173.0
189,2024-01-10 06:00:48.423098880+01:00,2024-01-10 14:41:31.569445120+01:00,58848.0
190,2024-01-10 06:05:57.988666880+01:00,2024-01-10 12:24:11.828302336+01:00,11182.0
191,2024-01-10 06:08:55.282681344+01:00,2024-01-11 09:51:06.020785408+01:00,10339.0
192,2024-01-10 06:11:01.249051392+01:00,2024-01-10 12:08:43.161216768+01:00,28504.0
193,2024-01-10 06:31:41.595595008+01:00,2024-01-10 12:26:18.236812288+01:00,14648.0
194,2024-01-10 06:50:44.784005120+01:00,2024-01-10 14:30:23.219537920+01:00,34497.0
195,2024-01-10 06:58:30.237390848+01:00,2024-01-10 16:16:17.634828544+01:00,12664.0
196,2024-01-10 07:00:37.244924416+01:00,2024-01-10 15:09:52.096809728+01:00,14993.0
197,2024-01-10 07:09:44.169040128+01:00,2024-01-10 16:29:35.760604928+01:00,6296.0
198,2024-01-10 07:17:14.676746752+01:00,2024-01-10 13:16:39.974834944+01:00,20130.0
199,2024-01-10 07:17:37.021518080+01:00,2024-01-10 11:44:27.973851648+01:00,8282.0
200,2024-01-10 07:17:40.202228480+01:00,2024-01-10 07:30:11.177827328+01:00,1382.0
201,2024-01-10 07:20:50.275738368+01:00,2024-01-10 18:20:41.891652352+01:00,8752.0
202,2024-01-10 07:21:05.144043776+01:00,2024-01-10 15:20:55.770790400+01:00,66333.0
203,2024-01-10 07:28:02.611520256+01:00,2024-01-10 09:37:40.902536704+01:00,12585.0
204,2024-01-10 07:28:40.330340096+01:00,2024-01-10 13:25:25.246567424+01:00,41725.0
205,2024-01-10 07:29:09.543265792+01:00,2024-01-10 19:37:37.823984640+01:00,35843.0
206,2024-01-10 07:29:29.738243840+01:00,2024-01-10 17:56:50.559204864+01:00,15312.0
207,2024-01-10 07:30:46.366652160+01:00,2024-01-10 16:10:26.774716672+01:00,11193.0
208,2024-01-10 07:32:52.738275328+01:00,2024-01-10 12:21:30.407118080+01:00,46013.0
209,2024-01-10 07:39:07.412486400+01:00,2024-01-10 17:49:05.539880192+01:00,41997.0
210,2024-01-10 07:39:33.374181888+01:00,2024-01-10 15:55:41.352111616+01:00,62359.0
211,2024-01-10 07:42:51.451880448+01:00,2024-01-10 07:44:09.486872320+01:00,27.0
212,2024-01-10 07:44:14.136789248+01:00,2024-01-10 15:53:39.519957504+01:00,9767.0
213,2024-01-10 07:48:41.470735616+01:00,2024-01-10 17:20:59.309310976+01:00,3029.0
214,2024-01-10 07:57:06.850729984+01:00,2024-01-10 12:26:42.657424640+01:00,43308.0
215,2024-01-10 07:58:03.159486720+01:00,2024-01-10 15:43:17.401374464+01:00,19910.0
216,2024-01-10 07:58:36.002915072+01:00,2024-01-10 16:34:04.907537152+01:00,7184.0
217,2024-01-10 07:59:19.912893952+01:00,2024-01-10 15:43:48.075276800+01:00,10541.0
218,2024-01-10 08:01:20.230350336+01:00,2024-01-10 13:06:02.823397120+01:00,11385.0
219,2024-01-10 08:02:54.254145536+01:00,2024-01-10 12:56:21.053919488+01:00,31274.0
220,2024-01-10 08:04:19.415173120+01:00,2024-01-10 17:49:14.264813312+01:00,18999.0
221,2024-01-10 08:06:55.709325056+01:00,2024-01-10 16:35:10.727439872+01:00,37021.0
222,2024-01-10 08:10:00.749809920+01:00,2024-01-10 17:01:05.974755072+01:00,14757.0
223,2024-01-10 08:10:06.625621760+01:00,2024-01-10 17:38:34.694787072+01:00,27331.0
224,2024-01-10 08:11:26.192610304+01:00,2024-01-10 17:27:14.594832896+01:00,54414.0
225,2024-01-10 08:12:53.572207616+01:00,2024-01-10 08:14:21.360143104+01:00,14.0
226,2024-01-10 08:13:31.358887936+01:00,2024-01-10 15:48:50.651853312+01:00,12838.0
227,2024-01-10 08:13:49.977519360+01:00,2024-01-10 13:18:18.283741440+01:00,18075.0
228,2024-01-10 08:14:25.687670528+01:00,2024-01-10 17:54:58.031972864+01:00,7407.0
229,2024-01-10 08:14:43.688950784+01:00,2024-01-10 17:11:37.151032320+01:00,34193.0
230,2024-01-10 08:16:48.272019200+01:00,2024-01-10 12:54:13.116501760+01:00,7356.0
231,2024-01-10 08:19:34.694040064+01:00,2024-01-10 11:17:45.059421184+01:00,13194.0
232,2024-01-10 08:22:42.798361600+01:00,2024-01-10 17:39:13.305113856+01:00,21646.0
233,2024-01-10 08:22:48.771610368+01:00,2024-01-10 18:16:52.566708736+01:00,15082.0
234,2024-01-10 08:29:16.045626880+01:00,2024-01-10 17:01:17.640536064+01:00,40241.0
235,2024-01-10 08:33:07.041699328+01:00,2024-01-10 17:04:29.182979072+01:00,14605.0
236,2024-01-10 08:55:55.008579840+01:00,2024-01-10 15:35:40.512519424+01:00,20103.0
237,2024-01-10 11:17:45.059421184+01:00,2024-01-10 16:38:23.211291648+01:00,13176.0
238,2024-01-10 11:21:28.072363008+01:00,2024-01-10 17:20:54.197170688+01:00,21252.0
239,2024-01-10 11:48:53.674353664+01:00,2024-01-11 07:51:54.978475008+01:00,9442.0
240,2024-01-10 12:15:21.500628992+01:00,2024-01-10 13:52:25.868438272+01:00,10460.0
241,2024-01-10 12:28:07.344508672+01:00,2024-01-10 17:34:03.950800640+01:00,11225.0
242,2024-01-10 12:35:05.016506368+01:00,2024-01-10 17:24:45.330638336+01:00,10576.0
243,2024-01-10 12:42:04.618360064+01:00,2024-01-10 18:32:11.985257472+01:00,37834.0
244,2024-01-10 12:57:43.013160704+01:00,2024-01-10 17:00:06.789784832+01:00,40305.0
245,2024-01-10 13:02:06.109368576+01:00,2024-01-10 16:48:31.893289472+01:00,18141.0
246,2024-01-10 13:10:10.508997888+01:00,2024-01-10 17:54:11.186774272+01:00,36291.0
247,2024-01-10 13:14:32.320506624+01:00,2024-01-10 16:38:47.780504320+01:00,24430.0
248,2024-01-10 13:17:14.711247872+01:00,2024-01-10 15:33:43.608068352+01:00,9917.0
249,2024-01-10 13:29:46.004196864+01:00,2024-01-10 16:15:36.090250240+01:00,29742.0
250,2024-01-10 14:44:52.603883264+01:00,2024-01-10 17:00:40.446976+01:00,9736.0
251,2024-01-10 14:45:33.551784960+01:00,2024-01-10 18:21:36.998354688+01:00,38297.0
252,2024-01-10 15:18:13.210386176+01:00,2024-01-10 18:10:28.792967936+01:00,31115.0
253,2024-01-10 15:30:38.962761984+01:00,2024-01-10 20:11:06.530415360+01:00,44096.0
254,2024-01-10 16:51:57.027547392+01:00,2024-02-27 17:22:11.206447616+01:00,10047.0
255,2024-01-10 17:13:16.220301824+01:00,2024-01-10 18:37:26.712396288+01:00,12512.0
256,2024-01-10 17:24:21.288899840+01:00,2024-01-11 07:25:46.815452672+01:00,19866.0
257,2024-01-10 18:22:03.733791232+01:00,2024-01-10 21:21:36.959500288+01:00,27875.0
258,2024-01-10 23:48:11.966837760+01:00,2024-01-12 09:27:25.099723776+01:00,14457.0
259,2024-01-11 05:18:13.401858304+01:00,2024-01-11 18:35:54.240672256+01:00,11775.0
260,2024-01-11 05:20:23.264705024+01:00,2024-01-11 14:51:17.996564224+01:00,6202.0
261,2024-01-11 05:40:08.447110656+01:00,2024-01-11 14:49:48.502500608+01:00,7867.0
262,2024-01-11 06:34:21.317121536+01:00,2024-01-11 16:17:34.654292224+01:00,13187.0
263,2024-01-11 06:39:07.440032+01:00,2024-01-11 17:06:35.333358848+01:00,54372.0
264,2024-01-11 06:42:36.728784640+01:00,2024-01-11 13:13:31.190886656+01:00,9960.0
265,2024-01-11 06:55:02.346905600+01:00,2024-01-11 16:17:36.640946176+01:00,12491.0
266,2024-01-11 06:57:53.492201216+01:00,2024-01-11 15:16:14.105068544+01:00,68855.0
267,2024-01-11 07:12:58.273277184+01:00,2024-01-11 12:58:44.800877568+01:00,14541.0
268,2024-01-11 07:15:24.414494976+01:00,2024-01-11 11:04:57.001887488+01:00,31619.0
269,2024-01-11 07:16:10.907903744+01:00,2024-01-11 16:15:50.233842688+01:00,10262.0
270,2024-01-11 07:19:26.482647552+01:00,2024-01-11 17:21:21.495970304+01:00,11666.0
271,2024-01-11 07:19:39.524592640+01:00,2024-01-11 17:47:52.740969728+01:00,10055.0
272,2024-01-11 07:24:08.675233024+01:00,2024-01-11 16:29:29.294789120+01:00,41733.0
273,2024-01-11 07:25:06.119169792+01:00,2024-01-11 17:41:36.135465216+01:00,33353.0
274,2024-01-11 07:28:52.108067328+01:00,2024-01-11 16:33:17.578183424+01:00,33418.0
275,2024-01-11 07:30:23.292035584+01:00,2024-01-11 17:08:58.294570752+01:00,21941.0
276,2024-01-11 07:31:41.105382400+01:00,2024-01-11 18:26:26.351043840+01:00,28594.0
277,2024-01-11 07:34:20.637239040+01:00,2024-01-11 18:37:15.101507584+01:00,57535.0
278,2024-01-11 07:34:50.090108672+01:00,2024-01-11 15:46:07.306160128+01:00,24218.0
279,2024-01-11 07:35:01.072313344+01:00,2024-01-11 16:56:10.570592+01:00,54104.0
280,2024-01-11 07:38:00.194157056+01:00,2024-01-11 16:50:28.056591872+01:00,25476.0
281,2024-01-11 07:38:25.096190720+01:00,2024-01-11 09:34:19.724172032+01:00,4007.0
282,2024-01-11 07:39:27.003401728+01:00,2024-01-15 14:20:12.770078464+01:00,34834.0
283,2024-01-11 07:39:34.375515136+01:00,2024-01-11 16:19:22.996269568+01:00,44059.0
284,2024-01-11 07:48:44.402639104+01:00,2024-01-11 16:20:43.427257088+01:00,21377.0
